county,sum_infant_total_spots
Chaffee,0
Conejos,0
Hinsdale,0
Jackson,0
Kiowa,0
Lake,0
Las Animas,0
Mineral,0
Ouray,0
Sedgwick,0
Baca,2
Rio Blanco,2
Lincoln,3
Costilla,4
Cheyenne,5
Custer,5
Dolores,5
Huerfano,5
Delta,7
Crowley,8
Logan,8
Phillips,8
Rio Grande,8
Washington,8
Archuleta,9
Kit Carson,9
Moffat,9
Park,9
Bent,10
Clear Creek,10
Elbert,10
Gilpin,10
Montezuma,10
Prowers,10
San Juan,10
Saguache,19
San Miguel,20
Otero,23
Yuma,25
Teller,26
Gunnison,29
Grand,35
Montrose,39
Fremont,40
Alamosa,43
Routt,43
Morgan,44
La Plata,57
Garfield,59
Pitkin,64
Summit,82
Pueblo,99
Mesa,138
Eagle,188
Broomfield,191
Weld,311
Boulder,608
Larimer,613
Adams,732
Douglas,849
El Paso,998
Arapahoe,1254
Denver,1315
Jefferson,1347
